date,sentiment
2023-12-04,43.99
2023-12-11,44.44
2023-12-18,55.0
2023-12-25,45.0
2024-01-01,31.25
2024-01-08,49.6
2024-01-15,45.23
2024-01-22,62.96
2024-01-29,59.37
2024-02-05,67.1
2024-02-12,57.79
2024-02-19,64.42
2024-02-26,46.49
2024-03-04,49.09
2024-03-11,58.73
2024-03-18,51.76
2024-03-25,51.97
2024-04-01,50.62
2024-04-08,57.7
2024-04-15,49.69
2024-04-22,64.55
2024-04-29,50.0
2024-05-06,61.46
2024-05-13,52.63
2024-05-20,58.82
2024-05-27,49.6
2024-06-03,60.0
2024-06-10,60.04
2024-06-17,52.46
2024-06-24,63.16
2024-07-01,67.83
2024-07-08,58.36
2024-07-15,56.24
2024-07-22,64.36
2024-07-29,64.47
2024-08-05,52.46
2024-08-12,51.97
2024-08-19,55.0
2024-08-26,63.45
2024-09-02,59.11
2024-09-09,60.48
2024-09-16,41.13
2024-09-23,54.59
2024-09-30,56.86
2024-10-07,40.69
2024-10-14,60.6
2024-10-21,52.15
2024-10-28,56.33
2024-11-04,55.76
2024-11-11,65.27
2024-11-18,59.09
2024-11-25,61.73
2024-12-02,50.55
2024-12-09,58.02
2024-12-16,67.07
2024-12-23,55.35
2024-12-30,46.38
2025-01-06,56.11
2025-01-13,45.51
2025-01-20,46.36
2025-01-27,55.71
2025-02-03,59.95
2025-02-10,59.77
2025-02-17,61.06
2025-02-24,57.13
2025-03-03,66.09
2025-03-10,44.19
2025-03-17,45.85
2025-03-24,60.61
2025-03-31,39.63
2025-04-07,40.45
2025-04-14,57.52
2025-04-21,52.93
2025-04-28,60.19
2025-05-05,49.2
2025-05-12,51.47
2025-05-19,42.85
2025-05-26,46.9
2025-06-02,55.25
2025-06-09,54.85
2025-06-16,44.74
2025-06-23,49.9
2025-06-30,55.72
2025-07-07,54.17
2025-07-14,51.9
2025-07-21,50.77
2025-07-28,57.3
2025-08-04,70.29
2025-08-11,68.36
2025-08-18,53.61
2025-08-25,56.72
2025-09-01,62.61
2025-09-08,54.05
2025-09-15,57.2
2025-09-22,62.51
2025-09-29,52.89
2025-10-06,46.1
2025-10-13,53.72
2025-10-20,68.71
2025-10-27,70.73
2025-11-03,70.4
2025-11-10,57.81
2025-11-17,56.11
2025-11-24,60.08
2025-12-01,62.92
