date,sentiment
2023-12-11,55.07
2023-12-18,56.71
2023-12-25,56.92
2024-01-01,56.0
2024-01-08,52.95
2024-01-15,50.89
2024-01-22,45.24
2024-01-29,49.41
2024-02-05,54.19
2024-02-12,52.46
2024-02-19,52.56
2024-02-26,58.27
2024-03-04,61.58
2024-03-11,55.69
2024-03-18,50.27
2024-03-25,49.86
2024-04-01,48.73
2024-04-08,57.26
2024-04-15,47.61
2024-04-22,50.35
2024-04-29,50.88
2024-05-06,49.17
2024-05-13,53.63
2024-05-20,51.63
2024-05-27,56.85
2024-06-03,49.85
2024-06-10,54.35
2024-06-17,54.68
2024-06-24,48.57
2024-07-01,46.32
2024-07-08,45.17
2024-07-15,52.9
2024-07-22,55.25
2024-07-29,48.33
2024-08-05,46.64
2024-08-12,53.22
2024-08-19,51.05
2024-08-26,55.02
2024-09-02,47.03
2024-09-09,46.1
2024-09-16,58.17
2024-09-23,59.78
2024-09-30,53.2
2024-10-07,52.08
2024-10-14,54.08
2024-10-21,54.38
2024-10-28,54.76
2024-11-04,65.3
2024-11-11,66.77
2024-11-18,57.83
2024-11-25,57.1
2024-12-02,56.81
2024-12-09,52.16
2024-12-16,51.9
2024-12-23,48.63
2024-12-30,55.11
2025-01-06,54.47
2025-01-13,52.26
2025-01-20,54.63
2025-01-27,52.67
2025-02-03,46.59
2025-02-10,47.66
2025-02-17,49.54
2025-02-24,45.47
2025-03-03,50.14
2025-03-10,50.76
2025-03-17,52.91
2025-03-24,52.19
2025-03-31,51.03
2025-04-07,46.11
2025-04-14,50.28
2025-04-21,57.72
2025-04-28,55.37
2025-05-05,55.63
2025-05-12,51.51
2025-05-19,66.11
2025-05-26,50.01
2025-06-02,58.04
2025-06-09,51.73
2025-06-16,51.66
2025-06-23,50.86
2025-06-30,54.28
2025-07-07,60.76
2025-07-14,59.67
2025-07-21,52.41
2025-07-28,52.63
2025-08-04,50.52
2025-08-11,58.37
2025-08-18,47.15
2025-08-25,52.96
2025-09-01,54.88
2025-09-08,57.49
2025-09-15,51.46
2025-09-22,51.69
2025-09-29,57.41
2025-10-06,61.19
2025-10-13,51.52
2025-10-20,46.83
2025-10-27,51.2
2025-11-03,44.48
2025-11-10,48.79
2025-11-17,46.47
2025-11-24,46.87
2025-12-01,46.1
