date,sentiment
2023-12-11,54.24
2023-12-18,57.37
2023-12-25,54.51
2024-01-01,45.65
2024-01-08,51.56
2024-01-15,52.67
2024-01-22,47.26
2024-01-29,53.97
2024-02-05,51.8
2024-02-12,52.29
2024-02-19,51.14
2024-02-26,54.15
2024-03-04,53.32
2024-03-11,56.76
2024-03-18,49.3
2024-03-25,48.0
2024-04-01,53.33
2024-04-08,55.17
2024-04-15,50.04
2024-04-22,47.45
2024-04-29,48.61
2024-05-06,50.05
2024-05-13,45.75
2024-05-20,53.35
2024-05-27,54.59
2024-06-03,53.14
2024-06-10,54.37
2024-06-17,56.18
2024-06-24,45.18
2024-07-01,54.77
2024-07-08,53.29
2024-07-15,53.98
2024-07-22,53.28
2024-07-29,53.18
2024-08-05,45.79
2024-08-12,54.25
2024-08-19,50.05
2024-08-26,48.69
2024-09-02,46.06
2024-09-09,47.36
2024-09-16,50.05
2024-09-23,54.81
2024-09-30,52.6
2024-10-07,46.66
2024-10-14,52.9
2024-10-21,54.15
2024-10-28,46.89
2024-11-04,50.68
2024-11-11,56.37
2024-11-18,54.72
2024-11-25,55.38
2024-12-02,60.78
2024-12-09,56.21
2024-12-16,54.87
2024-12-23,53.09
2024-12-30,59.92
2025-01-06,52.91
2025-01-13,52.57
2025-01-20,52.13
2025-01-27,54.03
2025-02-03,49.95
2025-02-10,48.53
2025-02-17,51.34
2025-02-24,49.74
2025-03-03,49.4
2025-03-10,43.21
2025-03-17,49.4
2025-03-24,49.79
2025-03-31,45.6
2025-04-07,41.09
2025-04-14,46.8
2025-04-21,54.71
2025-04-28,50.93
2025-05-05,54.29
2025-05-12,61.85
2025-05-19,56.44
2025-05-26,54.44
2025-06-02,52.45
2025-06-09,61.09
2025-06-16,52.84
2025-06-23,50.52
2025-06-30,57.24
2025-07-07,57.88
2025-07-14,57.18
2025-07-21,57.88
2025-07-28,60.35
2025-08-04,54.89
2025-08-11,62.3
2025-08-18,50.47
2025-08-25,60.44
2025-09-01,53.04
2025-09-08,50.21
2025-09-15,56.72
2025-09-22,44.44
2025-09-29,51.38
2025-10-06,58.4
2025-10-13,46.37
2025-10-20,50.47
2025-10-27,51.28
2025-11-03,47.68
2025-11-10,52.1
2025-11-17,50.43
2025-11-24,55.02
2025-12-01,51.75
