date,sentiment
2023-12-04,45.82
2023-12-11,50.23
2023-12-18,51.67
2023-12-25,45.23
2024-01-01,52.62
2024-01-08,47.52
2024-01-15,51.28
2024-01-22,54.44
2024-01-29,58.03
2024-02-05,52.89
2024-02-12,48.59
2024-02-19,48.79
2024-02-26,47.5
2024-03-04,46.3
2024-03-11,50.01
2024-03-18,51.61
2024-03-25,46.59
2024-04-01,48.09
2024-04-08,49.75
2024-04-15,51.83
2024-04-22,47.94
2024-04-29,54.01
2024-05-06,58.08
2024-05-13,43.63
2024-05-20,49.74
2024-05-27,50.38
2024-06-03,45.8
2024-06-10,54.17
2024-06-17,46.92
2024-06-24,51.51
2024-07-01,42.22
2024-07-08,53.05
2024-07-15,47.66
2024-07-22,48.73
2024-07-29,59.72
2024-08-05,52.35
2024-08-12,48.47
2024-08-19,50.14
2024-08-26,50.66
2024-09-02,50.0
2024-09-09,51.7
2024-09-16,49.62
2024-09-23,52.61
2024-09-30,49.44
2024-10-07,58.29
2024-10-14,50.04
2024-10-21,51.5
2024-10-28,57.84
2024-11-04,54.24
2024-11-11,50.01
2024-11-18,48.48
2024-11-25,55.82
2024-12-02,52.09
2024-12-09,49.44
2024-12-16,52.39
2024-12-23,52.9
2024-12-30,49.48
2025-01-06,46.66
2025-01-13,46.05
2025-01-20,46.74
2025-01-27,56.88
2025-02-03,56.22
2025-02-10,52.5
2025-02-17,47.68
2025-02-24,47.76
2025-03-03,49.97
2025-03-10,46.66
2025-03-17,48.69
2025-03-24,51.38
2025-03-31,51.06
2025-04-07,48.46
2025-04-14,44.35
2025-04-21,45.88
2025-04-28,56.85
2025-05-05,51.94
2025-05-12,46.53
2025-05-19,49.35
2025-05-26,50.86
2025-06-02,49.77
2025-06-09,55.45
2025-06-16,53.07
2025-06-23,48.22
2025-06-30,50.54
2025-07-07,52.51
2025-07-14,51.73
2025-07-21,52.22
2025-07-28,61.74
2025-08-04,53.71
2025-08-11,54.86
2025-08-18,46.43
2025-08-25,52.56
2025-09-01,49.19
2025-09-08,50.5
2025-09-15,53.86
2025-09-22,54.21
2025-09-29,52.4
2025-10-06,53.23
2025-10-13,54.2
2025-10-20,53.73
2025-10-27,46.13
2025-11-03,50.94
2025-11-10,50.17
2025-11-17,48.53
2025-11-24,50.77
2025-12-01,52.05
