date,sentiment
2023-12-04,54.53
2023-12-11,39.46
2023-12-18,50.0
2023-12-25,51.83
2024-01-01,61.67
2024-01-08,56.49
2024-01-15,47.92
2024-01-22,39.89
2024-01-29,71.53
2024-02-05,53.16
2024-02-12,47.5
2024-02-19,42.86
2024-02-26,46.62
2024-03-04,42.81
2024-03-11,40.0
2024-03-18,51.92
2024-03-25,52.37
2024-04-01,41.14
2024-04-08,43.75
2024-04-15,47.44
2024-04-22,36.84
2024-04-29,54.96
2024-05-06,57.96
2024-05-13,55.21
2024-05-20,49.98
2024-05-27,61.91
2024-06-03,44.44
2024-06-10,46.0
2024-06-17,54.51
2024-06-24,52.46
2024-07-01,65.64
2024-07-08,59.33
2024-07-15,49.77
2024-07-22,59.29
2024-07-29,64.8
2024-08-05,50.28
2024-08-12,49.59
2024-08-19,47.61
2024-08-26,55.0
2024-09-02,49.98
2024-09-09,54.34
2024-09-16,59.37
2024-09-23,63.88
2024-09-30,46.93
2024-10-07,50.88
2024-10-14,39.6
2024-10-21,59.15
2024-10-28,51.32
2024-11-04,64.12
2024-11-11,60.89
2024-11-18,54.95
2024-11-25,46.43
2024-12-02,57.28
2024-12-09,61.14
2024-12-16,62.62
2024-12-23,62.75
2024-12-30,46.44
2025-01-06,46.78
2025-01-13,64.54
2025-01-20,54.43
2025-01-27,43.79
2025-02-03,40.48
2025-02-10,44.49
2025-02-17,43.7
2025-02-24,45.57
2025-03-03,45.95
2025-03-10,47.09
2025-03-17,45.56
2025-03-24,56.66
2025-03-31,45.37
2025-04-07,40.42
2025-04-14,47.81
2025-04-21,45.06
2025-04-28,54.5
2025-05-05,49.4
2025-05-12,59.22
2025-05-19,57.45
2025-05-26,58.24
2025-06-02,49.36
2025-06-09,52.38
2025-06-16,48.92
2025-06-23,54.82
2025-06-30,44.22
2025-07-07,43.62
2025-07-14,48.02
2025-07-21,42.77
2025-07-28,49.5
2025-08-04,52.67
2025-08-11,55.09
2025-08-18,50.06
2025-08-25,50.94
2025-09-01,40.0
2025-09-08,49.34
2025-09-15,61.13
2025-09-22,60.56
2025-09-29,66.85
2025-10-06,57.4
2025-10-13,58.42
2025-10-20,46.49
2025-10-27,53.63
2025-11-03,46.97
2025-11-10,51.24
2025-11-17,50.76
2025-11-24,56.04
2025-12-01,48.62
