date,sentiment
2023-12-04,65.51
2023-12-11,53.02
2023-12-18,53.67
2023-12-25,53.7
2024-01-01,54.54
2024-01-08,59.18
2024-01-15,53.71
2024-01-22,57.02
2024-01-29,55.25
2024-02-05,51.62
2024-02-12,55.24
2024-02-19,59.38
2024-02-26,57.64
2024-03-04,51.49
2024-03-11,61.64
2024-03-18,57.22
2024-03-25,61.06
2024-04-01,37.03
2024-04-08,58.79
2024-04-15,59.03
2024-04-22,55.32
2024-04-29,52.81
2024-05-06,58.01
2024-05-13,45.27
2024-05-20,46.03
2024-05-27,58.06
2024-06-03,51.83
2024-06-10,49.61
2024-06-17,49.8
2024-06-24,62.42
2024-07-01,59.21
2024-07-08,66.83
2024-07-15,62.39
2024-07-22,58.8
2024-07-29,58.06
2024-08-05,46.15
2024-08-12,56.27
2024-08-19,49.63
2024-08-26,62.74
2024-09-02,58.35
2024-09-09,57.32
2024-09-16,51.72
2024-09-23,54.53
2024-09-30,49.97
2024-10-07,60.35
2024-10-14,66.28
2024-10-21,51.58
2024-10-28,55.67
2024-11-04,51.51
2024-11-11,39.58
2024-11-18,50.28
2024-11-25,59.08
2024-12-02,49.78
2024-12-09,57.92
2024-12-16,54.94
2024-12-23,60.37
2024-12-30,53.05
2025-01-06,55.92
2025-01-13,71.06
2025-01-20,51.74
2025-01-27,51.93
2025-02-03,58.61
2025-02-10,46.39
2025-02-17,50.37
2025-02-24,52.44
2025-03-03,52.0
2025-03-10,51.79
2025-03-17,48.44
2025-03-24,51.67
2025-03-31,46.9
2025-04-07,53.16
2025-04-14,64.21
2025-04-21,55.83
2025-04-28,58.33
2025-05-05,52.81
2025-05-12,70.66
2025-05-19,58.57
2025-05-26,42.47
2025-06-02,56.44
2025-06-09,62.49
2025-06-16,51.3
2025-06-23,56.91
2025-06-30,53.06
2025-07-07,56.64
2025-07-14,73.5
2025-07-21,63.01
2025-07-28,59.86
2025-08-04,46.79
2025-08-11,54.79
2025-08-18,55.83
2025-08-25,53.76
2025-09-01,52.34
2025-09-08,64.99
2025-09-15,63.3
2025-09-22,58.71
2025-09-29,62.32
2025-10-06,63.39
2025-10-13,73.07
2025-10-20,68.8
2025-10-27,62.11
2025-11-03,57.59
2025-11-10,57.19
2025-11-17,54.65
2025-11-24,39.82
2025-12-01,51.69
